ticker,company_name,isin,scope,category,value
III,3i Group Plc,GB00B1YW4409,direct,acidification,3.848636769276155e-19
III,3i Group Plc,GB00B1YW4409,downstream,acidification,1.541041785448793e-13
III,3i Group Plc,GB00B1YW4409,upstream,acidification,6.814243244139877e-15
III,3i Group Plc,GB00B1YW4409,direct,climate_change,1.112790900295059e-16
III,3i Group Plc,GB00B1YW4409,downstream,climate_change,4.521114137451453e-12
III,3i Group Plc,GB00B1YW4409,upstream,climate_change,7.06125862315827e-14
III,3i Group Plc,GB00B1YW4409,direct,eutrophication,0.0
III,3i Group Plc,GB00B1YW4409,downstream,eutrophication,3.709419123824027e-13
III,3i Group Plc,GB00B1YW4409,upstream,eutrophication,5.827549167383055e-14
III,3i Group Plc,GB00B1YW4409,direct,land_use,0.0
III,3i Group Plc,GB00B1YW4409,downstream,land_use,2.384446707473803e-12
III,3i Group Plc,GB00B1YW4409,upstream,land_use,3.507717275243004e-14
III,3i Group Plc,GB00B1YW4409,direct,water_stress,7.913765617367056e-17
III,3i Group Plc,GB00B1YW4409,downstream,water_stress,1.478541267536514e-12
III,3i Group Plc,GB00B1YW4409,upstream,water_stress,7.450201793742051e-14
ABBN,Abb Ltd-Reg,CH0012221716,direct,acidification,3.076943102459055e-14
ABBN,Abb Ltd-Reg,CH0012221716,downstream,acidification,1.157048135932441e-16
ABBN,Abb Ltd-Reg,CH0012221716,upstream,acidification,8.896168381819038e-14
ABBN,Abb Ltd-Reg,CH0012221716,direct,climate_change,1.750535042132367e-13
ABBN,Abb Ltd-Reg,CH0012221716,downstream,climate_change,6.991910732084656e-13
ABBN,Abb Ltd-Reg,CH0012221716,upstream,climate_change,7.341179234826041e-13
ABBN,Abb Ltd-Reg,CH0012221716,direct,eutrophication,0.0
ABBN,Abb Ltd-Reg,CH0012221716,downstream,eutrophication,1.886873148794275e-16
ABBN,Abb Ltd-Reg,CH0012221716,upstream,eutrophication,1.678345176338805e-13
ABBN,Abb Ltd-Reg,CH0012221716,direct,land_use,0.0
ABBN,Abb Ltd-Reg,CH0012221716,downstream,land_use,1.94714618784235e-15
ABBN,Abb Ltd-Reg,CH0012221716,upstream,land_use,2.468649590683762e-13
ABBN,Abb Ltd-Reg,CH0012221716,direct,water_stress,6.49465791388299e-14
ABBN,Abb Ltd-Reg,CH0012221716,downstream,water_stress,1.824024346225641e-16
ABBN,Abb Ltd-Reg,CH0012221716,upstream,water_stress,2.472919068435236e-13
ACS,Acs Actividades Cons Y Serv,ES0167050915,direct,acidification,6.242456977404878e-17
ACS,Acs Actividades Cons Y Serv,ES0167050915,downstream,acidification,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,upstream,acidification,1.609012531455522e-14
ACS,Acs Actividades Cons Y Serv,ES0167050915,direct,climate_change,2.067985442317432e-14
ACS,Acs Actividades Cons Y Serv,ES0167050915,downstream,climate_change,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,upstream,climate_change,1.536655579775336e-13
ACS,Acs Actividades Cons Y Serv,ES0167050915,direct,eutrophication,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,downstream,eutrophication,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,upstream,eutrophication,4.541602944314962e-14
ACS,Acs Actividades Cons Y Serv,ES0167050915,direct,land_use,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,downstream,land_use,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,upstream,land_use,4.142819447591828e-13
ACS,Acs Actividades Cons Y Serv,ES0167050915,direct,water_stress,8.452933979515648e-13
ACS,Acs Actividades Cons Y Serv,ES0167050915,downstream,water_stress,0.0
ACS,Acs Actividades Cons Y Serv,ES0167050915,upstream,water_stress,8.432423130444487e-13
ADM,Admiral Group Plc,GB00B02J6398,direct,acidification,3.014895717556026e-18
ADM,Admiral Group Plc,GB00B02J6398,downstream,acidification,4.701402554412844e-13
ADM,Admiral Group Plc,GB00B02J6398,upstream,acidification,1.175701858621369e-14
ADM,Admiral Group Plc,GB00B02J6398,direct,climate_change,7.846494724324066e-17
ADM,Admiral Group Plc,GB00B02J6398,downstream,climate_change,3.829365898089343e-12
ADM,Admiral Group Plc,GB00B02J6398,upstream,climate_change,8.088214381946726e-14
ADM,Admiral Group Plc,GB00B02J6398,direct,eutrophication,0.0
ADM,Admiral Group Plc,GB00B02J6398,downstream,eutrophication,6.134485020626269e-13
ADM,Admiral Group Plc,GB00B02J6398,upstream,eutrophication,1.836386505399119e-14
ADM,Admiral Group Plc,GB00B02J6398,direct,land_use,0.0
ADM,Admiral Group Plc,GB00B02J6398,downstream,land_use,1.901280833106006e-12
ADM,Admiral Group Plc,GB00B02J6398,upstream,land_use,6.814638877327267e-14
ADM,Admiral Group Plc,GB00B02J6398,direct,water_stress,1.465515976870853e-20
ADM,Admiral Group Plc,GB00B02J6398,downstream,water_stress,1.782591288456127e-13
ADM,Admiral Group Plc,GB00B02J6398,upstream,water_stress,6.717668524726299e-14
ADBE,Adobe Inc,US00724F1012,direct,acidification,4.678915074292566e-17
ADBE,Adobe Inc,US00724F1012,downstream,acidification,0.0
ADBE,Adobe Inc,US00724F1012,upstream,acidification,2.534565792299639e-14
ADBE,Adobe Inc,US00724F1012,direct,climate_change,1.529395709605597e-15
ADBE,Adobe Inc,US00724F1012,downstream,climate_change,3.113043629517284e-14
ADBE,Adobe Inc,US00724F1012,upstream,climate_change,1.89700427246456e-13
ADBE,Adobe Inc,US00724F1012,direct,eutrophication,0.0
ADBE,Adobe Inc,US00724F1012,downstream,eutrophication,0.0
ADBE,Adobe Inc,US00724F1012,upstream,eutrophication,3.418779948208422e-14
ADBE,Adobe Inc,US00724F1012,direct,land_use,0.0
ADBE,Adobe Inc,US00724F1012,downstream,land_use,0.0
ADBE,Adobe Inc,US00724F1012,upstream,land_use,1.204736805678761e-13
ADBE,Adobe Inc,US00724F1012,direct,water_stress,8.97316514613507e-16
ADBE,Adobe Inc,US00724F1012,downstream,water_stress,0.0
ADBE,Adobe Inc,US00724F1012,upstream,water_stress,1.993864443989818e-13
AMD,Advanced Micro Devices,US0079031078,direct,acidification,1.154359465320916e-16
AMD,Advanced Micro Devices,US0079031078,downstream,acidification,0.0
AMD,Advanced Micro Devices,US0079031078,upstream,acidification,3.783500861796189e-14
AMD,Advanced Micro Devices,US0079031078,direct,climate_change,4.981322697959435e-15
AMD,Advanced Micro Devices,US0079031078,downstream,climate_change,3.430630008435808e-13
AMD,Advanced Micro Devices,US0079031078,upstream,climate_change,4.316443147393251e-13
AMD,Advanced Micro Devices,US0079031078,direct,eutrophication,0.0
AMD,Advanced Micro Devices,US0079031078,downstream,eutrophication,0.0
AMD,Advanced Micro Devices,US0079031078,upstream,eutrophication,1.292232178198628e-13
AMD,Advanced Micro Devices,US0079031078,direct,land_use,0.0
AMD,Advanced Micro Devices,US0079031078,downstream,land_use,0.0
AMD,Advanced Micro Devices,US0079031078,upstream,land_use,1.633250284037677e-13
AMD,Advanced Micro Devices,US0079031078,direct,water_stress,2.206744896544571e-14
AMD,Advanced Micro Devices,US0079031078,downstream,water_stress,0.0
AMD,Advanced Micro Devices,US0079031078,upstream,water_stress,1.604673221035137e-13
6857,Advantest Corp,JP3122400009,direct,acidification,8.843352254482502e-17
6857,Advantest Corp,JP3122400009,downstream,acidification,0.0
6857,Advantest Corp,JP3122400009,upstream,acidification,4.116023269423257e-14
6857,Advantest Corp,JP3122400009,direct,climate_change,4.856449130796244e-15
6857,Advantest Corp,JP3122400009,downstream,climate_change,4.951036134245839e-13
6857,Advantest Corp,JP3122400009,upstream,climate_change,6.252754225004927e-13
6857,Advantest Corp,JP3122400009,direct,eutrophication,0.0
6857,Advantest Corp,JP3122400009,downstream,eutrophication,0.0
6857,Advantest Corp,JP3122400009,upstream,eutrophication,1.434174304524286e-13
6857,Advantest Corp,JP3122400009,direct,land_use,0.0
6857,Advantest Corp,JP3122400009,downstream,land_use,0.0
6857,Advantest Corp,JP3122400009,upstream,land_use,2.079209572571418e-13
6857,Advantest Corp,JP3122400009,direct,water_stress,6.01123778740465e-15
6857,Advantest Corp,JP3122400009,downstream,water_stress,0.0
6857,Advantest Corp,JP3122400009,upstream,water_stress,1.434330268630563e-13
8267,Aeon Co Ltd,JP3388200002,direct,acidification,5.300466334246576e-16
8267,Aeon Co Ltd,JP3388200002,downstream,acidification,2.916973588421624e-15
8267,Aeon Co Ltd,JP3388200002,upstream,acidification,1.892843575631371e-14
8267,Aeon Co Ltd,JP3388200002,direct,climate_change,6.352563273678364e-14
8267,Aeon Co Ltd,JP3388200002,downstream,climate_change,3.590146709964449e-13
8267,Aeon Co Ltd,JP3388200002,upstream,climate_change,4.144129762250797e-13
8267,Aeon Co Ltd,JP3388200002,direct,eutrophication,0.0
8267,Aeon Co Ltd,JP3388200002,downstream,eutrophication,1.784527658440342e-14
8267,Aeon Co Ltd,JP3388200002,upstream,eutrophication,6.887995216843917e-13
8267,Aeon Co Ltd,JP3388200002,direct,land_use,0.0
8267,Aeon Co Ltd,JP3388200002,downstream,land_use,2.16365066750978e-13
8267,Aeon Co Ltd,JP3388200002,upstream,land_use,1.713192224225361e-12
8267,Aeon Co Ltd,JP3388200002,direct,water_stress,4.557174842543445e-15
8267,Aeon Co Ltd,JP3388200002,downstream,water_stress,9.071697750250821e-15
8267,Aeon Co Ltd,JP3388200002,upstream,water_stress,4.536803409704626e-12
A,Agilent Technologies Inc,US00846U1016,direct,acidification,1.990960955500946e-17
A,Agilent Technologies Inc,US00846U1016,downstream,acidification,0.0
A,Agilent Technologies Inc,US00846U1016,upstream,acidification,2.714792577511217e-14
A,Agilent Technologies Inc,US00846U1016,direct,climate_change,1.279693898398061e-15
A,Agilent Technologies Inc,US00846U1016,downstream,climate_change,3.694652529434283e-13
A,Agilent Technologies Inc,US00846U1016,upstream,climate_change,3.02779743003805e-13
A,Agilent Technologies Inc,US00846U1016,direct,eutrophication,0.0
A,Agilent Technologies Inc,US00846U1016,downstream,eutrophication,0.0
A,Agilent Technologies Inc,US00846U1016,upstream,eutrophication,2.075405639246537e-13
A,Agilent Technologies Inc,US00846U1016,direct,land_use,0.0
A,Agilent Technologies Inc,US00846U1016,downstream,land_use,0.0
A,Agilent Technologies Inc,US00846U1016,upstream,land_use,3.319863010601773e-13
A,Agilent Technologies Inc,US00846U1016,direct,water_stress,1.499335838113204e-16
A,Agilent Technologies Inc,US00846U1016,downstream,water_stress,0.0
A,Agilent Technologies Inc,US00846U1016,upstream,water_stress,3.725829810868276e-13
1299,Aia Group Ltd,HK0000069689,direct,acidification,1.082952884273406e-18
1299,Aia Group Ltd,HK0000069689,downstream,acidification,2.180891943022602e-13
1299,Aia Group Ltd,HK0000069689,upstream,acidification,1.348203460663455e-14
1299,Aia Group Ltd,HK0000069689,direct,climate_change,1.247043901504616e-16
1299,Aia Group Ltd,HK0000069689,downstream,climate_change,8.896923163843088e-12
1299,Aia Group Ltd,HK0000069689,upstream,climate_change,2.356685797505691e-13
1299,Aia Group Ltd,HK0000069689,direct,eutrophication,0.0
1299,Aia Group Ltd,HK0000069689,downstream,eutrophication,2.454875956534175e-13
1299,Aia Group Ltd,HK0000069689,upstream,eutrophication,6.615250211467891e-14
1299,Aia Group Ltd,HK0000069689,direct,land_use,0.0
1299,Aia Group Ltd,HK0000069689,downstream,land_use,1.262047497708297e-11
1299,Aia Group Ltd,HK0000069689,upstream,land_use,2.029057585486363e-13
1299,Aia Group Ltd,HK0000069689,direct,water_stress,1.20594848604893e-19
1299,Aia Group Ltd,HK0000069689,downstream,water_stress,4.160343886308839e-13
1299,Aia Group Ltd,HK0000069689,upstream,water_stress,1.091804125088236e-13
AI,Air Liquide Sa,FR0000120073,direct,acidification,2.253162507724056e-13
AI,Air Liquide Sa,FR0000120073,downstream,acidification,0.0
AI,Air Liquide Sa,FR0000120073,upstream,acidification,8.049585809877496e-14
AI,Air Liquide Sa,FR0000120073,direct,climate_change,2.41566159809063e-12
AI,Air Liquide Sa,FR0000120073,downstream,climate_change,1.476663988583558e-12
AI,Air Liquide Sa,FR0000120073,upstream,climate_change,9.827976172817191e-13
AI,Air Liquide Sa,FR0000120073,direct,eutrophication,0.0
AI,Air Liquide Sa,FR0000120073,downstream,eutrophication,0.0
AI,Air Liquide Sa,FR0000120073,upstream,eutrophication,1.625737382553723e-13
