ticker,company_name,isin,market_cap_usd_m,sales_usd_m
III,3i Group Plc,GB00B1YW4409,14285.19,1408.93
ABBN,Abb Ltd-Reg,CH0012221716,56089.01,32084.98
ACS,Acs Actividades Cons Y Serv,ES0167050915,7098.69,38644.06
ADM,Admiral Group Plc,GB00B02J6398,6526.91,4860.98
ADBE,Adobe Inc,US00724F1012,183821.04,19368.0
AMD,Advanced Micro Devices,US0079031078,145554.02,22680.0
6857,Advantest Corp,JP3122400009,11076.4,3221.57
8267,Aeon Co Ltd,JP3388200002,16742.98,63262.01
A,Agilent Technologies Inc,US00846U1016,38148.01,6833.0
1299,Aia Group Ltd,HK0000069689,122871.55,27521.17
AI,Air Liquide Sa,FR0000120073,68526.21,29852.73
AIR.FP,Airbus Se,NL0000235190,84676.74,70768.27
7259,Aisin Corp,JP3102000001,9101.59,32510.24
2802,Ajinomoto Co Inc,JP3119600009,13785.28,9530.34
AKRBP,Aker Bp Asa,NO0010345853,20827.53,13584.51
ALB,Albemarle Corp,US0126531013,27438.33,9617.2
ALV,Allianz Se-Reg,DE0008404005,71853.68,134771.77
GOOGL,Alphabet Inc-Cl A,US02079K3059,1492384.36,307157.0
ALO,Alstom,FR0010220475,8443.38,19157.16
AWK,American Water Works Co Inc,US0304201033,27493.82,4234.0
ADI,Analog Devices Inc,US0326541051,87498.95,12305.54
AAL,Anglo American Plc,GB00B1XZS820,44656.41,30661.63
ABI,Anheuser-Busch Inbev Sa/Nv,BE0974293251,111030.32,59391.39
ANTO,Antofagasta Plc,GB0000456144,12797.85,6325.66
AMAT,Applied Materials Inc,US0382221051,90004.74,26454.0
ARGX,Argenx Se,NL0010832176,19960.69,1226.55
ANET,Arista Networks Inc,US0404131064,33631.55,5860.17
ALL,Aristocrat Leisure Ltd,AU000000ALL7,16591.79,4179.78
ASM,Asm International Nv,NL0000334118,14104.31,2848.56
ASML,Asml Holding Nv,NL0010273215,217574.91,29799.64
ASSAB,Assa Abloy Ab-B,SE0007100581,24732.66,13255.36
AZN,Astrazeneca Plc,GB0009895292,204351.5,45819.42
AUTO,Auto Trader Group Plc,GB00BVYVFW23,6943.9,729.91
ADSK,Autodesk Inc,US0527691069,44195.34,5440.0
AV/,Aviva Plc,GB00BPQY8M80,13373.08,51378.55
CS,Axa Sa,FR0000120628,51533.19,109372.58
BBVA,Banco Bilbao Vizcaya Argenta,ES0113211835,26888.69,68952.72
