portfolio,ticker,isin,holdings,cusip,sedol,pct_of_fund,shares,market_value
Pictet - AI & Automation ETF,GOOGL,US02079K3059,ALPHABET INC-CL A,02079K305,BYVY8G0,9.61,2827,"956,233"
Pictet - AI & Automation ETF,NVDA,US67066G1040,NVIDIA CORP,67066G104,2379504,7.57,3916,"753,869"
Pictet - AI & Automation ETF,TSM,TW0002330008,TAIWAN SEMICONDUCTOR-SP ADR,874039100,2113382,6.46,1897,"644,126"
Pictet - AI & Automation ETF,AVGO,US11135F1012,BROADCOM INC,11135F101,BDZ78H9,5.88,1768,"584,731"
Pictet - AI & Automation ETF,KLAC,US4824801009,KLA CORP,482480100,2480138,5.75,340,"572,801"
Pictet - AI & Automation ETF,MSFT,US5949181045,MICROSOFT CORP,594918104,2588173,4.84,1114,"482,919"
Pictet - AI & Automation ETF,PANW,US6974351057,PALO ALTO NETWORKS INC,697435105,B87ZMX0,4.32,2441,"430,104"
Pictet - AI & Automation ETF,CRWD,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,22788C105,BJJP138,4.07,912,"405,493"
Pictet - AI & Automation ETF,ASML,NL0010273215,ASML HOLDING NV /EUR/,N07059202,B929F46,3.68,258,"366,875"
Pictet - AI & Automation ETF,NXPI,NL0009538784,NXP SEMICONDUCTORS NV,N6596X109,B505PN7,3.68,1568,"366,128"
Pictet - AI & Automation ETF,CRM,US79466L3024,SALESFORCE INC,79466L302,2310525,3.6,1678,"359,226"
Pictet - AI & Automation ETF,META,US30303M1027,META PLATFORMS INC-CLASS A,30303M102,B7TL820,3.46,466,"344,052"
Pictet - AI & Automation ETF,ASM,NL0000334118,ASM INTERNATIONAL NV /EUR/,N07045201,5165294,2.35,281,"234,318"
Pictet - AI & Automation ETF,FTNT,US34959E1091,FORTINET INC,34959E109,B5B2106,2.24,2741,"223,419"
Pictet - AI & Automation ETF,ISRG,US46120E6023,INTUITIVE SURGICAL INC,46120E602,2871301,2.07,406,"206,065"
Pictet - AI & Automation ETF,SAP,DE0007164600,SAP SE /EUR/,D66992104,4846288,1.99,1012,"198,740"
Pictet - AI & Automation ETF,700,KYG875721634,TENCENT HOLDINGS LTD /HKD/,G87572163,BMMV2K8,1.8,2246,"179,005"
Pictet - AI & Automation ETF,NFLX,US64110L1061,NETFLIX INC,64110L106,2857817,1.78,2130,"177,131"
Pictet - AI & Automation ETF,IFX,DE0006231004,INFINEON TECHNOLOGIES AG /EUR/,D35415104,5889505,1.71,3392,"169,143"
Pictet - AI & Automation ETF,MU,US5951121038,MICRON TECHNOLOGY INC,595112103,2588184,1.65,376,"163,857"
Pictet - AI & Automation ETF,OKTA,US6792951054,OKTA INC,679295105,BDFZSP1,1.64,1902,"162,982"
Pictet - AI & Automation ETF,NET,US18915M1071,CLOUDFLARE INC - CLASS A,18915M107,BJXC5M2,1.63,899,"162,171"
Pictet - AI & Automation ETF,MCHP,US5950171042,MICROCHIP TECHNOLOGY INC,595017104,2592174,1.6,2011,"159,593"
Pictet - AI & Automation ETF,SNOW,US8334451098,SNOWFLAKE INC,833445109,BN134B7,1.57,781,"155,708"
Pictet - AI & Automation ETF,BKNG,US09857L1089,BOOKING HOLDINGS INC,09857L108,BDRXDB4,1.49,29,"148,286"
Pictet - AI & Automation ETF,HUBS,US4435731009,HUBSPOT INC,443573100,BR4T3B3,1.38,486,"136,824"
Pictet - AI & Automation ETF,DLR,US2538681030,DIGITAL REALTY TRUST INC,253868103,B03GQS4,1.37,813,"136,129"
Pictet - AI & Automation ETF,AMD,US0079031078,ADVANCED MICRO DEVICES,7903107,2007849,1.37,538,"135,673"
Pictet - AI & Automation ETF,660,KR7000660001,SK HYNIX INC /KRW/,Y8085F100,6450267,1.3,215,"129,805"
Pictet - AI & Automation ETF,8035,JP3571400005,TOKYO ELECTRON LTD /JPY/,J86957115,6895675,1.22,448,"121,149"
Pictet - AI & Automation ETF,EQIX,US29444U7000,EQUINIX INC,29444U700,BVLZX12,1.17,141,"116,473"
Pictet - AI & Automation ETF,EXR,US30225T1025,EXTRA SPACE STORAGE INC,30225T102,B02HWR9,1.08,775,"107,624"
Pictet - AI & Automation ETF,AMAT,US0382221051,APPLIED MATERIALS INC,38222105,2046552,0.98,286,"97,623"
Pictet - AI & Automation ETF,ADBE,US00724F1012,ADOBE INC,00724F101,2008154,0.87,299,"87,203"
Pictet - AI & Automation ETF,CDNS,US1273871087,CADENCE DESIGN SYS INC,127387108,2302232,0.76,254,"76,878"
Pictet - AI & Automation ETF,MDB,US60937P1066,MONGODB INC,60937P106,BF2FJ99,0.72,194,"72,560"
Pictet - AI & Automation ETF,ADSK,US0527691069,AUTODESK INC,52769106,2065159,0.68,267,"68,267"
Pictet - AI & Automation ETF,ZS,US98980G1022,ZSCALER INC,98980G102,BZ00V34,0.65,318,"63,800"
Pictet - AI-Enhanced International Equities ETF,ASML,NL0010273215,ASML HOLDING NV /EUR/,N07059202,B929F46,2.64,193,"274,445"
Pictet - AI-Enhanced International Equities ETF,AZN,GB0009895292,ASTRAZENECA PLC /GBP/,G0593M107,989529,2.06,1156,"214,172"
Pictet - AI-Enhanced International Equities ETF,SAP,DE0007164600,SAP SE /EUR/,D66992104,4846288,1.74,921,"180,869"
Pictet - AI-Enhanced International Equities ETF,BNP,FR0000131104,BNP PARIBAS /EUR/,F1058Q238,7309681,1.63,1569,"168,531"
Pictet - AI-Enhanced International Equities ETF,6758,JP3435000009,SONY GROUP CORP /JPY/,J76379106,6821506,1.62,7473,"167,811"
Pictet - AI-Enhanced International Equities ETF,6861,JP3236200006,KEYENCE CORP /JPY/,J32491102,6490995,1.48,400,"153,839"
Pictet - AI-Enhanced International Equities ETF,INGA,NL0011821202,ING GROEP NV /EUR/,N4578E595,BZ57390,1.47,5192,"152,553"
Pictet - AI-Enhanced International Equities ETF,ENR.GR,DE000ENER6Y0,SIEMENS ENERGY AG /EUR/,D6T47E106,BMTVQK9,1.46,887,"151,421"
Pictet - AI-Enhanced International Equities ETF,HSBA,GB0005405286,HSBC HOLDINGS PLC /GBP/,G4634U169,540528,1.37,8166,"142,749"
Pictet - AI-Enhanced International Equities ETF,BP/,GB0007980591,BP PLC /GBP/,G12793108,798059,1.34,21898,"139,450"
Pictet - AI-Enhanced International Equities ETF,8766,JP3910660004,TOKIO MARINE HOLDINGS INC /JPY/,J86298106,6513126,1.33,3743,"138,396"
Pictet - AI-Enhanced International Equities ETF,ABBN,CH0012221716,ABB LTD-REG /CHF/,H0010V101,7108899,1.29,1547,"133,702"
Pictet - AI-Enhanced International Equities ETF,BATS,GB0002875804,BRITISH AMERICAN TOBACCO /GBP/,G1510J102,287580,1.28,2234,"133,055"
Pictet - AI-Enhanced International Equities ETF,BHP,AU000000BHP4,BHP GROUP LTD /AUD/,Q1498M100,6144690,1.27,3678,"132,229"
Pictet - AI-Enhanced International Equities ETF,RACE,NL0011585146,FERRARI NV /EUR/,N3167Y103,BD6G507,1.24,381,"128,673"
Pictet - AI-Enhanced International Equities ETF,PRX,NL0013654783,PROSUS NV /EUR/,N7163R103,BJDS7L3,1.21,2114,"125,515"
Pictet - AI-Enhanced International Equities ETF,SU.FP,FR0000121972,SCHNEIDER ELEC SA /EUR/,F86921107,4834108,1.19,429,"123,543"
Pictet - AI-Enhanced International Equities ETF,MQG,AU000000MQG1,MACQUARIE GROUP LTD /AUD/,Q57085286,B28YTC2,1.18,831,"123,040"
Pictet - AI-Enhanced International Equities ETF,7203,JP3633400001,TOYOTA MOTOR CORP /JPY/,J92676113,6900643,1.17,5376,"121,284"
Pictet - AI-Enhanced International Equities ETF,RR/,GB00B63H8491,ROLLS-ROYCE HOLDINGS PLC /GBP/,G76225104,B63H849,1.17,7341,"121,355"
Pictet - AI-Enhanced International Equities ETF,CPG,GB00BD6K4575,COMPASS GROUP PLC /GBP/,G23296208,BD6K457,1.14,3982,"119,048"
Pictet - AI-Enhanced International Equities ETF,6501,JP3788600009,HITACHI LTD /JPY/,J20454112,6429104,1.12,3487,"115,834"
Pictet - AI-Enhanced International Equities ETF,8031,JP3893600001,MITSUI & CO LTD /JPY/,J44690139,6597302,1.11,3484,"115,552"
Pictet - AI-Enhanced International Equities ETF,8750,JP3476480003,DAI-ICHI LIFE HOLDINGS I /JPY/,J09748112,B601QS4,1.1,12922,"113,887"
Pictet - AI-Enhanced International Equities ETF,IBE,ES0144580Y14,IBERDROLA SA /EUR/,E6165F166,B288C92,1.09,5038,"113,530"
Pictet - AI-Enhanced International Equities ETF,NOVN,CH0012005267,NOVARTIS AG-REG /CHF/,H5820Q150,7103065,1.09,760,"113,082"
Pictet - AI-Enhanced International Equities ETF,NG/,GB00BDR05C01,NATIONAL GRID PLC /GBP/,G6S9A7120,BDR05C0,1.07,6566,"111,165"
Pictet - AI-Enhanced International Equities ETF,GLE,FR0000130809,SOCIETE GENERALE SA /EUR/,F8591M517,5966516,1.06,1276,"109,294"
Pictet - AI-Enhanced International Equities ETF,DTE,DE0005557508,DEUTSCHE TELEKOM AG-REG /EUR/,D2035M136,5842359,1.03,3236,"106,045"
Pictet - AI-Enhanced International Equities ETF,SIKA,CH0418792922,SIKA AG-REG /CHF/,H7631K273,BF2DSG3,0.99,536,"103,704"
Pictet - AI-Enhanced International Equities ETF,G24,DE000A12DM80,SCOUT24 SE /EUR/,D345XT105,BYT9340,0.98,1031,"101,777"
Pictet - AI-Enhanced International Equities ETF,KBC,BE0003565737,KBC GROUP NV /EUR/,B5337G162,4497749,0.98,730,"102,456"
Pictet - AI-Enhanced International Equities ETF,CS,FR0000120628,AXA SA /EUR/,F06106102,7088429,0.94,2144,"97,499"
Pictet - AI-Enhanced International Equities ETF,9984,JP3436100006,SOFTBANK GROUP CORP /JPY/,J7596P109,6770620,0.93,3480,"97,113"
Pictet - AI-Enhanced International Equities ETF,UCG,IT0005239360,UNICREDIT SPA /EUR/,T9T23L642,BYMXPS7,0.92,1114,"96,003"
Pictet - AI-Enhanced International Equities ETF,1,KYG217651051,CK HUTCHISON HOLDINGS LT /HKD/,G21765105,BW9P816,0.92,11202,"95,165"
Pictet - AI-Enhanced International Equities ETF,ALL,AU000000ALL7,ARISTOCRAT LEISURE LTD /AUD/,Q0521T108,6253983,0.92,2511,"95,391"
Pictet - AI-Enhanced International Equities ETF,ZURN,CH0011075394,ZURICH INSURANCE GROUP AG /CHF/,H9870Y105,5983816,0.91,132,"94,250"
Pictet - AI-Enhanced International Equities ETF,AI,FR0000120073,AIR LIQUIDE SA /EUR/,F01764103,B1YXBJ7,0.9,493,"93,030"
Pictet - AI-Enhanced International Equities ETF,UBSG,CH0244767585,UBS GROUP AG-REG /CHF/,H42097107,BRJL176,0.87,1881,"89,587"
Pictet - AI-Enhanced International Equities ETF,RMS,FR0000052292,HERMES INTERNATIONAL /EUR/,F48051100,5253973,0.87,37,"89,470"
Pictet - AI-Enhanced International Equities ETF,ENEL,IT0003128367,ENEL SPA /EUR/,T3679P115,7144569,0.86,8044,"88,764"
Pictet - AI-Enhanced International Equities ETF,7974,JP3756600007,NINTENDO CO LTD /JPY/,J51699106,6639550,0.86,1374,"89,281"
Pictet - AI-Enhanced International Equities ETF,EXPN,GB00B19NLV48,EXPERIAN PLC /GBP/,G32655105,B19NLV4,0.85,2381,"88,324"
Pictet - AI-Enhanced International Equities ETF,6098,JP3970300004,RECRUIT HOLDINGS CO LTD /JPY/,J6433A101,BQRRZ00,0.78,1526,"81,495"
Pictet - AI-Enhanced International Equities ETF,SIE.GR,DE0007236101,SIEMENS AG-REG /EUR/,D69671218,5727973,0.77,262,"79,998"
Pictet - AI-Enhanced International Equities ETF,ROG,CH0012032048,ROCHE HOLDING AG-GENUSSC /CHF/,H69293217,7110388,0.73,167,"75,450"
Pictet - AI-Enhanced International Equities ETF,DBK,DE0005140008,DEUTSCHE BANK AG-REGISTE /EUR/,D18190898,5750355,0.73,1957,"75,770"
Pictet - AI-Enhanced International Equities ETF,NDA,FI4000297767,NORDEA BANK ABP /EUR/,X5S8VL105,BFM0SV9,0.73,3904,"75,471"
Pictet - AI-Enhanced International Equities ETF,LLOY,GB0008706128,LLOYDS BANKING GROUP PLC /GBP/,G5533W248,870612,0.72,51703,"75,045"
Pictet - AI-Enhanced International Equities ETF,CBA,AU000000CBA7,COMMONWEALTH BANK OF AUS /AUD/,Q26915100,6215035,0.69,686,"71,177"
Pictet - AI-Enhanced International Equities ETF,NST,AU000000NST8,NORTHERN STAR RESOURCES  /AUD/,Q6951U101,6717456,0.67,3366,"69,281"
Pictet - AI-Enhanced International Equities ETF,CBK,DE000CBK1001,COMMERZBANK AG /EUR/,D172W1279,B90LKT4,0.66,1647,"67,982"
Pictet - AI-Enhanced International Equities ETF,INVEB,SE0015811963,INVESTOR AB-B SHS /SEK/,W5R777115,BMV7PQ4,0.66,1751,"67,764"
Pictet - AI-Enhanced International Equities ETF,SAN,ES0113900J37,SANOFI /EUR/,F5548N101,5671735,0.63,717,"65,930"
Pictet - AI-Enhanced International Equities ETF,TSCO,GB00BLGZ9862,TESCO PLC /GBP/,G8T67X102,BLGZ986,0.63,11356,"65,744"
