ticker,company_name,isin,scope,category,stakeholder,wellby_per_dollar,wellby_abs
EBS,Erste Group Bank Ag,AT0000652011,own_ops,employment,employees,1.4616902293440715e-05,0.366547
EBS,Erste Group Bank Ag,AT0000652011,upstream,employment,employees,1.3006578813041764e-05,0.326165
EBS,Erste Group Bank Ag,AT0000652011,upstream,employment,suppliers,5.574248062732185e-06,0.139785
EBS,Erste Group Bank Ag,AT0000652011,own_ops,health,gov_communities,-2.5744917721514816e-09,-6.5e-05
EBS,Erste Group Bank Ag,AT0000652011,upstream,health,gov_communities,-4.891534367087815e-08,-0.001227
EBS,Erste Group Bank Ag,AT0000652011,downstream,income_wealth,customers,0.001443578970690389,36.200575
EBS,Erste Group Bank Ag,AT0000652011,own_ops,income_wealth,gov_communities,1.9661883292104206e-09,4.9e-05
EBS,Erste Group Bank Ag,AT0000652011,own_ops,income_wealth,shareholders,1.9661883292104206e-09,4.9e-05
EBS,Erste Group Bank Ag,AT0000652011,upstream,income_wealth,gov_communities,9.202815908517989e-10,2.3e-05
EBS,Erste Group Bank Ag,AT0000652011,upstream,income_wealth,suppliers,2.1473237119875307e-09,5.4e-05
OMV,Omv Ag,AT0000743059,downstream,employment,customers,0.000502755414076182,21.453705
OMV,Omv Ag,AT0000743059,own_ops,employment,employees,4.117580623038105e-06,0.175706
OMV,Omv Ag,AT0000743059,upstream,employment,employees,2.165089201485219e-05,0.923892
OMV,Omv Ag,AT0000743059,upstream,employment,suppliers,9.278953720650937e-06,0.395954
OMV,Omv Ag,AT0000743059,downstream,energy,customers,0.0003822322366215213,16.310709
OMV,Omv Ag,AT0000743059,own_ops,health,gov_communities,-3.66632335701714e-07,-0.015645
OMV,Omv Ag,AT0000743059,upstream,health,gov_communities,-1.443617668605e-06,-0.061602
OMV,Omv Ag,AT0000743059,downstream,income_wealth,customers,2.7684880700952166e-07,0.011814
OMV,Omv Ag,AT0000743059,own_ops,income_wealth,gov_communities,6.599215248965311e-10,2.8e-05
OMV,Omv Ag,AT0000743059,own_ops,income_wealth,shareholders,6.599215248965311e-10,2.8e-05
OMV,Omv Ag,AT0000743059,upstream,income_wealth,gov_communities,1.677357595520083e-09,7.2e-05
OMV,Omv Ag,AT0000743059,upstream,income_wealth,suppliers,3.91383438954686e-09,0.000167
ALL,Aristocrat Leisure Ltd,AU000000ALL7,own_ops,employment,employees,2.2409587366118754e-05,0.093667
ALL,Aristocrat Leisure Ltd,AU000000ALL7,upstream,employment,employees,1.7882440880150925e-05,0.074745
ALL,Aristocrat Leisure Ltd,AU000000ALL7,upstream,employment,suppliers,7.663903234350397e-06,0.032033
ALL,Aristocrat Leisure Ltd,AU000000ALL7,own_ops,health,gov_communities,-8.685427178408834e-10,-4e-06
ALL,Aristocrat Leisure Ltd,AU000000ALL7,upstream,health,gov_communities,-1.5938392820141858e-08,-6.7e-05
ALL,Aristocrat Leisure Ltd,AU000000ALL7,own_ops,income_wealth,gov_communities,2.0452106100363825e-09,9e-06
ALL,Aristocrat Leisure Ltd,AU000000ALL7,own_ops,income_wealth,shareholders,2.0452106100363825e-09,9e-06
ALL,Aristocrat Leisure Ltd,AU000000ALL7,upstream,income_wealth,gov_communities,8.72573865796841e-10,4e-06
ALL,Aristocrat Leisure Ltd,AU000000ALL7,upstream,income_wealth,suppliers,2.0360056868592956e-09,9e-06
ALL,Aristocrat Leisure Ltd,AU000000ALL7,downstream,leisure,customers,-0.0017856105672159766,-7.463454
BHP,Bhp Group Ltd-Di,AU000000BHP4,downstream,employment,customers,0.0018405902370878155,103.631902
BHP,Bhp Group Ltd-Di,AU000000BHP4,own_ops,employment,employees,6.50242520651069e-05,3.661101
BHP,Bhp Group Ltd-Di,AU000000BHP4,upstream,employment,employees,4.574216715394244e-05,2.57545
BHP,Bhp Group Ltd-Di,AU000000BHP4,upstream,employment,suppliers,1.9603785923118193e-05,1.103764
BHP,Bhp Group Ltd-Di,AU000000BHP4,downstream,energy,customers,0.0009543891692671787,53.735569
BHP,Bhp Group Ltd-Di,AU000000BHP4,own_ops,health,gov_communities,-1.46893941197298e-05,-0.827066
BHP,Bhp Group Ltd-Di,AU000000BHP4,upstream,health,gov_communities,-5.4454897237356006e-06,-0.306601
BHP,Bhp Group Ltd-Di,AU000000BHP4,downstream,income_wealth,customers,3.551069999321409e-07,0.019994
BHP,Bhp Group Ltd-Di,AU000000BHP4,own_ops,income_wealth,gov_communities,1.6743683326240006e-09,9.4e-05
BHP,Bhp Group Ltd-Di,AU000000BHP4,own_ops,income_wealth,shareholders,1.6743683326240006e-09,9.4e-05
BHP,Bhp Group Ltd-Di,AU000000BHP4,upstream,income_wealth,gov_communities,1.0332894413726153e-09,5.8e-05
BHP,Bhp Group Ltd-Di,AU000000BHP4,upstream,income_wealth,suppliers,2.411008696536102e-09,0.000136
BXB,Brambles Ltd,AU000000BXB1,downstream,employment,customers,0.004807311533381218,31.830775
BXB,Brambles Ltd,AU000000BXB1,own_ops,employment,employees,4.5306212666463984e-05,0.299987
BXB,Brambles Ltd,AU000000BXB1,upstream,employment,employees,2.5404178856174123e-05,0.168209
BXB,Brambles Ltd,AU000000BXB1,upstream,employment,suppliers,1.0887505224074625e-05,0.07209
BXB,Brambles Ltd,AU000000BXB1,own_ops,health,gov_communities,-3.171493715729627e-08,-0.00021
BXB,Brambles Ltd,AU000000BXB1,upstream,health,gov_communities,-3.822772832828946e-07,-0.002531
BXB,Brambles Ltd,AU000000BXB1,own_ops,income_wealth,gov_communities,1.890371222472344e-09,1.3e-05
BXB,Brambles Ltd,AU000000BXB1,own_ops,income_wealth,shareholders,1.890371222472344e-09,1.3e-05
BXB,Brambles Ltd,AU000000BXB1,upstream,income_wealth,gov_communities,9.657111419642622e-10,6e-06
BXB,Brambles Ltd,AU000000BXB1,upstream,income_wealth,suppliers,2.2533259979166117e-09,1.5e-05
CBA,Commonwealth Bank Of Austral,AU000000CBA7,own_ops,employment,employees,1.2144772250954721e-05,0.52912
CBA,Commonwealth Bank Of Austral,AU000000CBA7,upstream,employment,employees,7.317984734964918e-06,0.318828
CBA,Commonwealth Bank Of Austral,AU000000CBA7,upstream,employment,suppliers,3.136279172127822e-06,0.136641
CBA,Commonwealth Bank Of Austral,AU000000CBA7,own_ops,health,gov_communities,-2.2254771463766093e-10,-1e-05
CBA,Commonwealth Bank Of Austral,AU000000CBA7,upstream,health,gov_communities,-4.228406578115557e-09,-0.000184
CBA,Commonwealth Bank Of Austral,AU000000CBA7,downstream,income_wealth,customers,0.001173363756060026,51.120791
