ticker,company_name,isin,scope,category,stakeholder,wellby_per_dollar,wellby_abs
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,connectivity,employees,0.00014493589297957487,5101704.300189931
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,employment,customers,1.3578576917473405e-06,47796.224127929614
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,employment,gov_communities,-5.271562072760543e-07,-18555.756163941147
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,income_wealth,employees,8.466271065016081e-07,29801.04555953785
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,income_wealth,suppliers,1.0234995525487376e-05,360269.0790483638
1,Ck Hutchison Holdings Ltd,KYG217651051,downstream,leisure,suppliers,-1.159158972103522e-06,-40802.082845121506
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,connectivity,employees,1.8740851970209744e-06,65967.29293213511
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,employment,gov_communities,2.921834627469695e-08,1028.4778999158386
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,employment,shareholders,1.5516976015380611e-06,54619.33661578734
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,employment,suppliers,1.3157936428239155e-05,463155.8096311827
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,income_wealth,customers,-1.3617893770546662e-06,-47934.618389192445
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,income_wealth,employees,3.5565949314022414e-07,12519.118130472743
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,leisure,gov_communities,-1.652366441735799e-07,-5816.285261016086
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,nutrition,gov_communities,3.1353608709897875e-06,110363.85611140537
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,nutrition,shareholders,-1.811332896039585e-06,-63758.428880711464
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,water,customers,7.786755357113068e-07,27409.168614643357
1,Ck Hutchison Holdings Ltd,KYG217651051,own_ops,water,shareholders,-1.742107154361057e-05,-613217.0146457753
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,connectivity,customers,7.609395975245959e-06,267848.68379174446
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,connectivity,shareholders,1.0076872657347682e-07,3547.0319678302094
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,employment,employees,-1.1997071035032644e-05,-422293.66122396966
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,income_wealth,gov_communities,7.488752367654303e-08,2636.0206137829223
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,leisure,suppliers,5.504912488830764e-07,19377.143328047092
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,water,customers,1.5525567466867796e-06,54649.57829305304
1,Ck Hutchison Holdings Ltd,KYG217651051,upstream,water,employees,2.7142157011587385e-06,95539.6598425483
1299,Aia Group Ltd,HK0000069689,downstream,mobility,employees,-6.735463002272788e-09,-185.36782231425977
1299,Aia Group Ltd,HK0000069689,downstream,mobility,gov_communities,-0.0001898920068195725,-5226050.201322614
1299,Aia Group Ltd,HK0000069689,own_ops,income_wealth,customers,3.5614800242230798e-06,98016.09719824749
1299,Aia Group Ltd,HK0000069689,own_ops,income_wealth,suppliers,4.925786148686356e-08,1355.6339798164247
1299,Aia Group Ltd,HK0000069689,own_ops,mobility,employees,-9.874281120927621e-05,-2717517.693568396
1299,Aia Group Ltd,HK0000069689,upstream,health,customers,4.562731057015148e-06,125571.69708439359
1299,Aia Group Ltd,HK0000069689,upstream,health,suppliers,-3.819561194157957e-08,-1051.1879294982414
1299,Aia Group Ltd,HK0000069689,upstream,income_wealth,employees,4.204107500598946e-06,115701.95722225869
1299,Aia Group Ltd,HK0000069689,upstream,knowledge,shareholders,1.9565571283531923e-07,5384.674134412002
1299,Aia Group Ltd,HK0000069689,upstream,knowledge,suppliers,-1.151221116816241e-06,-31682.952063489625
1299,Aia Group Ltd,HK0000069689,upstream,mobility,employees,-5.385505349846449e-07,-14821.54082690336
1299,Aia Group Ltd,HK0000069689,upstream,mobility,shareholders,-4.121573321151279e-07,-11343.052003886894
1299,Aia Group Ltd,HK0000069689,upstream,mobility,suppliers,-4.988121847410738e-07,-13727.894934330498
1299,Aia Group Ltd,HK0000069689,upstream,nutrition,customers,-1.9789136977071815e-05,-544620.2028992795
1299,Aia Group Ltd,HK0000069689,upstream,nutrition,shareholders,-2.174525777025708e-07,-5984.54935789066
1308,Sitc International Holdings,KYG8187G1055,downstream,knowledge,gov_communities,-2.126386117929874e-07,-516.4928088868126
1308,Sitc International Holdings,KYG8187G1055,downstream,knowledge,shareholders,8.915214375251431e-07,2165.4788261054464
1308,Sitc International Holdings,KYG8187G1055,downstream,knowledge,suppliers,-2.37641213416846e-05,-57722.337815311635
1308,Sitc International Holdings,KYG8187G1055,own_ops,housing,shareholders,-1.700324369798555e-06,-4130.036884509596
1308,Sitc International Holdings,KYG8187G1055,own_ops,knowledge,employees,7.390681538946326e-07,1795.1743737654458
